名称,功效
夏天无,活血止痛，舒筋活络，祛风除湿。用于中风偏瘫，头痛，跌扑损伤，风湿痹痛，腰腿疼痛。
仙鹤草,收敛止血，截疟，止痢，解毒，补虚。用于咯血，吐血，崩漏下血，疟疾，血痢，痈肿疮毒，阴痒带下，脱力劳伤。
仙茅,补肾阳，强筋骨，祛寒湿。用于阳痿精冷，筋骨痿软，腰膝冷痛，阳虚冷泻。
香附,疏肝解郁，理气宽中，调经止痛。用于肝郁气滞，胸胁胀痛，疝气疼痛，乳房胀痛，脾胃气滞，脘腹痞闷，胀满疼痛，月经不调，经闭痛经。
香薷,发汗解表，化湿和中。用于暑湿感冒，恶寒发热，头痛无汗，腹痛吐泻，水肿，小便不利。
香橼,疏肝理气，宽中，化痰。用于肝胃气滞，胸胁胀痛，脘腹痞满，呕吐噫气，痰多咳嗽。
小驳骨,祛瘀止痛，续筋接骨。用于跌打损伤，筋伤骨折，风湿骨痛，血瘀经闭，产后腹痛。
小茴香,散寒止痛，理气和胃。用于寒疝腹痛，睾丸偏坠，痛经，少腹冷痛，脘腹胀痛，食少吐泻。盐小茴香暖肾散寒止痛。用于寒疝腹痛，睾丸偏坠，经寒腹痛。
小蓟,凉血止血，散瘀解毒消痈。用于衄血，吐血，尿血，血淋，便血，崩漏，外伤出血，痈肿疮毒。
玄明粉,泻下通便，润燥软坚，清火消肿。用于实热积滞，大便燥结，腹满胀痛；外治咽喉肿痛，口舌生疮，牙龈肿痛，目赤，痈肿，丹毒。
薤白,通阳散结，行气导滞。用于胸痹心痛，脘腹痞满胀痛，泻痢后重。
辛夷,散风寒，通鼻窍。用于风寒头痛，鼻塞流涕，鼻鼽，鼻渊。
伊贝母,清热润肺，化痰止咳。用于肺热燥咳，干咳少痰，阴虚劳嗽，咳痰带血。
雄黄,解毒杀虫，燥湿祛痰，截疟。用于痈肿疔疮，蛇虫咬伤，虫积腹痛，惊痫，疟疾。
徐长卿,祛风，化湿，止痛，止痒。用于风湿痹痛，胃痛胀满，牙痛，腰痛，跌扑伤痛，风疹、湿疹。
续断,补肝肾，强筋骨，续折伤，止崩漏。用于肝肾不足，腰膝酸软，风湿痹痛，跌扑损伤，筋伤骨折，崩漏，胎漏。酒续断多用于风湿痹痛，跌扑损伤，筋伤骨折。盐续断多用于腰膝酸软。
玄参,清热凉血，滋阴降火，解毒散结。用于热入营血，温毒发斑，热病伤阴，舌绛烦渴，津伤便秘，骨蒸劳嗽，目赤，咽痛，白喉，瘰疬，痈肿疮毒。
旋覆花,降气，消痰，行水，止呕。用于风寒咳嗽，痰饮蓄结，胸膈痞闷，喘咳痰多，呕吐噫气，心下痞硬。
血竭,活血定痛，化瘀止血，生肌敛疮。用于跌打损伤，心腹瘀痛，外伤出血，疮疡不敛。
血余炭,收敛止血，化瘀，利尿。用于吐血，咯血，衄血，血淋，尿血，便血，崩漏，外伤出血，小便不利。
鸦胆子,清热解毒，截疟，止痢；外用腐蚀赘疣。用于痢疾，疟疾；外治赘疣，鸡眼。
法半夏,燥湿化痰。用于痰多咳喘，痰饮眩悸，风痰眩晕，痰厥头痛。
洋金花,平喘止咳，解痉定痛。用于哮喘咳嗽，脘腹冷痛，风湿痹痛，小儿慢惊；外科麻醉。
姜半夏,温中化痰，降逆止呕。用于痰饮呕吐，胃脘痞满。
荆芥穗炭,收涩止血。用于便血，崩漏，产后血晕。
野菊花,清热解毒，泻火平肝。用于疔疮痈肿，目赤肿痛，头痛眩晕。
首乌藤,养血安神，祛风通络。用于失眠多梦，血虚身痛，风湿痹痛，皮肤瘙痒。
一枝黄花,清热解毒，疏散风热。用于喉痹，乳蛾，咽喉肿痛，疮疖肿毒，风热感冒。
丁公藤,祛风除湿，消肿止痛。用于风湿痹痛，半身不遂，跌扑肿痛。
益母草,活血调经，利尿消肿，清热解毒。用于月经不调，痛经经闭，恶露不尽，水肿尿少，疮疡肿毒。
益智,暖肾固精缩尿，温脾止泻摄唾。用于肾虚遗尿，小便频数，遗精白浊，脾寒泄泻，腹中冷痛，口多唾涎。
薏苡仁,利水渗湿，健脾止泻，除痹，排脓，解毒散结。用于水肿，脚气，小便不利，脾虚泄泻，湿痹拘挛，肺痈，肠痈，赘疣，癌肿。
茵陈,清利湿热，利胆退黄。用于黄疸尿少，湿温暑湿，湿疮瘙痒。
淫羊藿,补肾阳，强筋骨，祛风湿。用于肾阳虚衰，阳痿遗精，筋骨痿软，风湿痹痛，麻木拘挛。
银柴胡,清虚热，除疳热。用于阴虚发热，骨蒸劳热，小儿疳热。
银杏叶,活血化瘀，通络止痛，敛肺平喘，化浊降脂。用于瘀血阻络，胸痹心痛，中风偏瘫，肺虚咳喘，高脂血症。
鱼腥草,清热解毒，消痈排脓，利尿通淋。用于肺痈吐脓，痰热喘咳，热痢，热淋，痈肿疮毒。
白附子,祛风痰，定惊搐，解毒散结，止痛。用于中风痰壅，口眼㖞斜，语言謇涩，惊风癫痫，破伤风，痰厥头痛，偏正头痛，瘰疬痰核，毒蛇咬伤。
禹余粮,涩肠止泻，收敛止血。用于久泻久痢，大便出血，崩漏带下。
玉竹,养阴润燥，生津止渴。用于肺胃阴伤，燥热咳嗽，咽干口渴，内热消渴。
郁金,活血止痛，行气解郁，清心凉血，利胆退黄。用于胸胁刺痛，胸痹心痛，经闭痛经，乳房胀痛，热病神昏，癫痫发狂，血热吐衄，黄疸尿赤。
郁李仁,润肠通便，下气利水。用于津枯肠燥，食积气滞，腹胀便秘，水肿，脚气，小便不利。
延胡索,活血，行气，止痛。用于胸胁、脘腹疼痛，胸痹心痛，经闭痛经，产后瘀阻，跌扑肿痛。
远志,安神益智，交通心肾，祛痰，消肿。用于心肾不交引起的失眠多梦、健忘惊悸、神志恍惚，咳痰不爽，疮疡肿毒，乳房肿痛。
清半夏,燥湿化痰。用于湿痰咳嗽，胃脘痞满，痰涎凝聚，咯吐不出。
木香,行气止痛，健脾消食。用于胸胁、脘腹胀痛，泻痢后重，食积不消，不思饮食。煨木香实肠止泻。用于泄泻腹痛。
皂角刺,消肿托毒，排脓，杀虫。用于痈疽初起或脓成不溃；外治疥癣麻风。
大皂角,祛痰开窍，散结消肿。用于中风口噤，昏迷不醒，癫痫痰盛，关窍不通，喉痹痰阻，顽痰喘咳，咳痰不爽，大便燥结；外治痈肿。
泽兰,活血调经，祛瘀消痈，利水消肿。用于月经不调，经闭，痛经，产后瘀血腹痛，疮痈肿毒，水肿腹水。
泽泻,利水渗湿，泄热，化浊降脂。用于小便不利，水肿胀满，泄泻尿少，痰饮眩晕，热淋涩痛，高脂血症。
赭石,平肝潜阳，重镇降逆，凉血止血。用于眩晕耳鸣，呕吐，噫气，呃逆，喘息，吐血，齟血，崩漏下血。
浙贝母,清热化痰止咳，解毒散结消痈。用于风热咳嗽，痰火咳嗽，肺痈，乳痈，瘰疬，疮毒。
珍珠,安神定惊，明目消翳，解毒生肌，润肤祛斑。用于惊悸失眠，惊风癫痫，目赤翳障，疮疡不敛，皮肤色斑。
珍珠母,平肝潜阳，安神定惊，明目退翳。用于头痛眩晕，惊悸失眠，目赤翳障，视物昏花。
草乌叶,清热，解毒，止痛。用于热病发热，泄泻腹痛，头痛，牙痛。
地枫皮,袪风除湿，行气止痛。用于风湿痹痛，劳伤腰痛。
苘麻子,清热解毒，利湿，退翳。用于赤白痢疾，淋证涩痛，痈肿疮毒，目生翳膜。
枳壳,理气宽中，行滞消胀。用于胸胁气滞，胀满疼痛，食积不化，痰饮内停，脏器下垂。
钟乳石,温肺，助阳，平喘，制酸，通乳。用于寒痰咳喘，阳虚冷喘，腰膝冷痛，胃痛泛酸，乳汁不通。
南五味子,收敛固涩，益气生津，补肾宁心。用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗盗汗，津伤口渴，内热消渴，心悸失眠。
重楼,清热解毒，消肿止痛，凉肝定惊。用于疔疮痈肿，咽喉肿痛，蛇虫咬伤，跌扑伤痛，惊风抽搐。
亚乎奴,消肿止痛，止血，生肌。用于外伤肿痛，创伤出血。
南板蓝根,清热解毒，凉血消斑。用于温疫时毒，发热咽痛，温毒发斑，丹毒。
猪苓,利水渗湿。用于小便不利，水肿，泄泻，淋浊，带下。
猪牙皂,祛痰开窍，散结消肿。用于中风口噤，昏迷不醒，癫痫痰盛，关窍不通，喉痹痰阻，顽痰喘咳，咯痰不爽，大便燥结；外治痈肿。
竹茹,清热化痰，除烦，止呕。用于痰热咳嗽，胆火挟痰，惊悸不宁，心烦失眠，中风痰迷，舌强不语，胃热呕吐，妊娠恶阻，胎动不安。
紫草,清热凉血，活血解毒，透疹消斑。用于血热毒盛，斑疹紫黑，麻疹不透，疮疡，湿疹，水火烫伤。
紫石英,温肾暖宫，镇心安神，温肺平喘。用于肾阳亏虚，宫冷不孕，惊悸不安，失眠多梦，虚寒咳喘。
紫苏梗,理气宽中，止痛，安胎。用于胸膈痞闷，胃脘疼痛，嗳气呕吐，胎动不安。
紫苏叶,解表散寒，行气和胃。用于风寒感冒，咳嗽呕恶，妊娠呕吐，鱼蟹中毒。
南鹤虱,杀虫消积。用于蛔虫病，蛲虫病，绦虫病，虫积腹痛，小儿疳积。
紫菀,润肺下气，消痰止咳。用于痰多喘咳，新久咳嗽，劳嗽咳血。
紫珠叶,凉血收敛止血，散瘀解毒消肿。用于衄血，咯血，吐血，便血，崩漏，外伤出血，热毒疮疡，水火烫伤。
自然铜,散瘀止痛，续筋接骨。用于跌打损伤，筋骨折伤，瘀肿疼痛。
生姜,解表散寒，温中止呕，化痰止咳，解鱼蟹毒。用于风寒感冒，胃寒呕吐，寒痰咳嗽，鱼蟹中毒。
西瓜霜,清热泻火，消肿止痛。用于咽喉肿痛，喉痹，口疮。
五味子,收敛固涩，益气生津，补肾宁心。用于久嗽虚喘，梦遗滑精，遗尿尿频，久泻不止，自汗盗汗，津伤口渴，内热消渴，心悸失眠。
三棱,破血行气，消积止痛。用于癥瘕痞块，痛经，瘀血经闭，胸痹心痛，食积胀痛。
五倍子,敛肺降火，涩肠止泻，敛汗，止血，收湿敛疮。用于肺虚久咳，肺热痰嗽，久泻久痢，自汗盗汗，消渴，便血痔血，外伤出血，痈肿疮毒，皮肤湿烂。
枳实,破气消积，化痰散痞。用于积滞内停，痞满胀痛，泻痢后重，大便不通，痰滞气阻，胸痹，结胸，脏器下垂。
乳香,活血定痛，消肿生肌。用于胸痹心痛，胃脘疼痛，痛经经闭，产后瘀阻，癥瘕腹痛，风湿痹痛，筋脉拘挛，跌打损伤，痈肿疮疡。
西河柳,发表透疹，袪风除湿。用于麻疹不透，风湿痹痛。
焦栀子,凉血止血。用于血热吐血，衄血，尿血，崩漏。
豨莶草,祛风湿，利关节，解毒。用于风湿痹痛，筋骨无力，腰膝酸软，四肢麻痹，半身不遂，风疹湿疮。
香加皮,利水消肿，祛风湿，强筋骨。用于下肢浮肿，心悸气短，风寒湿痹，腰膝酸软。
当药,清湿热，健胃。用于湿热黄疸，胁痛，痢疾腹痛，食欲不振。
海金沙,清利湿热，通淋止痛。用于热淋，石淋，血淋，膏淋，尿道涩痛。
枸骨叶,清热养阴，益肾，平肝。用于肺痨咯血，骨蒸潮热，头晕目眩。
虫白蜡,按甘益血补中，温能通经活络，故书载能止痛生肌，补虚续绝
朱砂根,解毒消肿，活血止痛，祛风除湿。用于咽喉肿痛，风湿痹痛，跌打损伤。
厚朴花,芳香化湿，理气宽中。用于脾胃湿阴气滞，胸脘痞闷胀满，纳谷不香。
竹节参,散瘀止血，消肿止痛，祛痰止咳，补虚强壮。用于痨嗽咯血，跌扑损伤，咳嗽痰多，病后虚弱。
华山参,温肺祛痰，平喘止咳，安神镇惊。用于寒痰喘咳，惊悸失眠。
合欢花,解郁安神。用于心神不安，忧郁失眠。
关黄柏,清热燥湿，泻火除蒸，解毒疗疮。用于湿热泻痢，黄疸尿赤，带下阴痒，热淋涩痛，脚气痿躄，骨蒸劳热，盗汗，遗精，疮疡肿毒，湿疹湿疮。盐关黄柏滋阴降火。用于阴虚火旺，盗汗骨蒸。
灯盏细辛,活血通络止痛，祛风散寒。用于中风偏瘫，胸痹心痛，风湿痹痛，头痛，牙痛。
禹州漏芦,清热解毒，消痈，下乳，舒筋通脉。用于乳痈肿痛，痈疽发背，瘰疬疮毒，乳汁不通，湿痹拘挛。
川木通,利尿通淋，清心除烦，通经下乳。用于淋证，水肿，心烦尿赤，口舌生疮，经闭乳少，湿热痹痛。
红芪,补气升阳，固表止汗，利水消肿，生津养血，行滞通痹，托毒排脓，敛疮生肌。用于气虚乏力，食少便溏，中气下陷，久泻脱肛，便血崩漏，表虚自汗，气虚水肿，内热消渴，血虚萎黄，半身不遂，痹痛麻木，痈疽难溃，久溃不敛。
稻芽,消食和中，健脾开胃。用于食积不消，腹胀口臭，脾胃虚弱，不饥食少。炒稻芽偏于消食。用于不饥食少。焦稻芽善化积滞。用于积滞不消。
炙红芪,补中益气。用于气虚乏力，食少便溏。
洪连,清热，解毒，利湿，平肝，行血，调经。用于发热烦渴，肺热咳嗽，头痛眩晕，湿热黄疸，月经不调，药食中毒。
千金子霜,泻下逐水，破血消癥；外用疗癣蚀疣。用于二便不通，水肿，痰饮，积滞胀满，血瘀经闭；外治顽癣，赘疣。
花蕊石,化瘀止血。用于咯血，吐血，外伤出血，跌扑伤痛。
大豆黄卷,解表祛暑，清热利湿。用于暑湿感冒，湿温初起，发热汗少，胸闷脘痞，肢体酸重，小便不利。
秦皮,清热燥湿，收涩止痢，止带，明目。用于湿热泻痢，赤白带下，目赤肿痛，目生翳膜。
暴马子皮,清肺祛痰，止咳平喘。用于咳喘痰多。
珠子参,补肺养阴，祛瘀止痛，止血。用于气阴两虚，烦热口渴，虚劳咳嗽，跌扑损伤，关节痹痛，咳血，吐血，衄血，崩漏，外伤出血。
僵蚕,息风止痉，祛风止痛，化痰散结。用于肝风夹痰，惊痫抽搐，小儿急惊，破伤风，中风口，风热头痛，目赤咽痛，风疹瘙痒，发颐痄腮。
全蝎,息风镇痉，通络止痛，攻毒散结。用于肝风内动，痉挛抽搐，小儿惊风，中风口㖞，半身不遂，破伤风，风湿顽痹，偏正头痛，疮疡，瘰疬。
山银花,清热解毒，疏散风热。用于痈肿疔疮，喉痹，丹毒，热毒血痢，风热感冒，温病发热。
广金钱草,利湿退黄，利尿通淋。用于黄疸尿赤，热淋，石淋，小便涩痛，水肿尿少。
粉葛,解肌退热，生津止渴，透疹，升阳止泻，通经活络，解酒毒。用于外感发热头痛，项背强痛，口渴，消渴，麻疹不透，热痢，泄泻，眩晕头痛，中风偏瘫，胸痹心痛，酒毒伤中。
马齿苋,清热解毒，凉血止血，止痢。用于热毒血痢，痈肿疔疮，湿疹，丹毒，蛇虫咬伤，便血，痔血，崩漏下血。
粉萆薢,利湿去浊，祛风除痹。用于膏淋，白浊，白带过多，风湿痹痛，关节不利，腰膝疼痛。
骨碎补,疗伤止痛，补肾强骨；外用消风祛斑。用于跌扑闪挫，筋骨折伤，肾虚腰痛，筋骨痿软，耳鸣耳聋，牙齿松动；外治斑秃，白癜风。
两头尖,祛风湿，消痈肿。用于风寒湿痹，四肢拘挛，骨节疼痛，痈肿溃烂。
红大戟,泻水逐饮，消肿散结。用于水肿胀满，胸腹积水，痰饮积聚，气逆咳喘，二便不利，痈肿疮毒，瘰疬痰核。
狼毒,散结，杀虫。外用于淋巴结结核、皮癣；灭蛆。
漏芦,清热解毒，消痈，下乳，舒筋通脉。用于乳痈肿痛，痈疽发背，瘰疬疮毒，乳汁不通，湿痹拘挛。
片姜黄,破血行气，通经止痛。用于胸胁刺痛，胸痹心痛，痛经经闭，癥瘕，风湿肩臂疼痛，跌扑肿痛。
红景天,益气活血，通脉平喘。用于气虚血瘀，胸痹心痛，中风偏瘫，倦怠气喘。
独一味,活血止血，祛风止痛。用于跌打损伤，外伤出血，风湿痹痛，黄水病。
炮姜,温经止血，温中止痛。用于阳虚失血，吐衄崩漏，脾胃虚寒，腹痛吐泻。
锦灯笼,清热解毒，利咽化痰，利尿通淋。用于咽痛音哑，痰热咳嗽，小便不利，热淋涩痛；外治天疱疮，湿疹。
柿蒂,降逆止呃。用于呃逆。
荜澄茄,温中散寒，行气止痛。用于胃寒呕逆，脘腹冷痛，寒疝腹痛，寒湿郁滞，小便浑浊。
谷芽,消食和中，健脾开胃。用于食积不消，腹胀口臭，脾胃虚弱，不饥食少。炒谷芽偏于消食，用于不饥食少。焦谷芽善化积滞，用于积滞不消。
马兜铃,清肺降气，止咳平喘，清肠消痔。用于肺热咳喘，痰中带血，肠热痔血，痔疮肿痛。
水飞蓟,清热解毒，疏肝利胆。用于肝胆湿热，胁痛，黄疸。
水红花子,散血消癥，消积止痛，利水消肿。用于癥瘕痞块，瘿瘤，食积不消，胃脘胀痛，水肿腹水。
娑罗子,疏肝理气，和胃止痛。用于肝胃气滞，胸腹胀闷，胃脘疼痛。
杜仲叶,补肝肾，强筋骨。用于肝肾不足，头晕目眩，腰膝酸痛，筋骨痿软。
榧子,杀虫消积，润肺止咳，润燥通便。用于钩虫病，蛔虫病，绦虫病，虫积腹痛，小儿疳积，肺燥咳嗽，大便秘结。
黑豆,益精明目，养血祛风，利水，解毒。用于阴虚烦渴，头晕目昏，体虚多汗，肾虚腰痛，水肿尿少，痹痛拘挛，手足麻木，药食中毒。
车前草,清热利尿通淋，祛痰，凉血，解毒。用于热淋涩痛，水肿尿少，暑湿泄泻，痰热咳嗽，吐血衄血，痈肿疮毒。
白屈菜,解痉止痛，止咳平喘。用于胃脘挛痛，咳嗽气喘，百日咳。
断血流,收敛止血。用于崩漏，尿血，鼻衄，牙龈出血，创伤出血。
浮萍,宣散风热，透疹，利尿。用于麻疹不透，风疹瘙痒，水肿尿少。
翻白草,清热解毒，止痢，止血。用于湿热泻痢，痈肿疮毒，血热吐衄，便血，崩漏。
瞿麦,利尿通淋，活血通经。用于热淋，血淋，石淋，小便不通，淋沥涩痛，经闭瘀阻。
千里光,清热解毒，明目，利湿。用于痈肿疮毒，感冒发热，目赤肿痛，泄泻痢疾，皮肤湿疹。
鸭跖草,清热泻火，解毒，利水消肿。用于感冒发热，热病烦渴，咽喉肿痛，水肿尿少，热淋涩痛，痈肿疔毒。
杠板归,清热解毒，利水消肿，止咳。用于咽喉肿痛，肺热咳嗽，小儿顿咳，水肿尿少，湿热泻痢，湿疹，疖肿，蛇虫咬伤。
大青盐,清热，凉血，明目。用于吐血，尿血，牙龈肿痛出血，目赤肿痛，风眼烂弦。
芫花,泻水逐饮；外用杀虫疗疮。用于水肿胀满，胸腹积水，痰饮积聚，气逆咳喘，二便不利；外治疥癣秃疮，痈肿，冻疮。
九里香,行气止痛，活血散瘀。用于胃痛，风湿痹痛；外治牙痛，跌扑肿痛，虫蛇咬伤。
棕榈,收敛止血。用于吐血，衄血，尿血，便血，崩漏。
雷丸,杀虫消积。用于绦虫病，钩虫病，蛔虫病，虫积腹痛，小儿疳积。
蛇蜕,祛风，定惊，退翳，解毒。用于小儿惊风，抽搐痉挛，翳障，喉痹，疔肿，皮肤瘙痒。
水牛角,清热凉血，解毒，定惊。用于温病高热，神昏谵语，发斑发疹，吐血衄血，惊风，癫狂。
穿山甲,活血消癥，通经下乳，消肿排脓，搜风通络。用于经闭癥瘕，乳汁不通，痈肿疮毒，风湿痹痛，中风瘫痪，麻木拘挛。
巫山淫羊藿,补肾阳，强筋骨，祛风湿。用于肾阳虚衰，阳痿遗精，筋骨痿软，风湿痹痛，麻木拘挛，绝经期眩晕。
羚羊角,平肝息风，清肝明目，散血解毒。用于肝风内动，惊痫抽搐，妊娠子痫，高热痉厥，癫痫发狂，头痛眩晕，目赤翳障，温毒发斑，痈肿疮毒。
白矾,外用解毒杀虫，燥湿止痒；内服止血止泻，祛除风痰。外治用于湿疹，疥癣，脱肛，痔疮，聤耳流脓；内服用于久泻不止，便血，崩漏，癫痫发狂。枯矾收湿敛疮，止血化腐。用于湿疹湿疮，脱肛，痔疮，聤耳流脓，阴痒带下，鼻衄齿衄，鼻瘜肉。
艾片,开窍醒神，清热止痛。用于热病神昏、痉厥，中风痰厥，气郁暴厥，中恶昏迷，目赤，口疮，咽喉肿痛，耳道流脓。
